path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Get Shaky - The Ian Carey Project wlyrics.mp3,The Ian Carey Project wlyrics,Get Shaky,,,379167,4AQ7NZtUhot894zLyFdXc2,https://open.spotify.com/track/4AQ7NZtUhot894zLyFdXc2,0.05,Last Night (feat. Bobby Anthony & Snoop Dogg) - Dani L. Mebius Remix,"Ian Carey, Bobby Anthony, Snoop Dogg, Dani L. Mebius"
Gorgon City - Ready For Your Love ft. MNEK.mp3,Ready For Your Love ft. MNEK,Gorgon City,,,207151,1y7agAufBsudgRXuq6Ekqb,https://open.spotify.com/track/3Kr7UHOUkgaH4PK3Mp1fUP,0.642,Ready For Your Love,"Felix Jaehn, Sophie Ellis-Bextor"
Henry Fong & Toby Green - Revival (Original Mix).mp3,Revival,Henry Fong & Toby Green,,,331938,6qKr5DEHMhyD8HugUyD19C,https://open.spotify.com/track/6qKr5DEHMhyD8HugUyD19C,0,Roll Call,"Thomas & Friends, Mattel"
Ian Carey & Doron feat. Ray J and Kardinal Offishall - Baddest Chick (Official Music Video).mp3,Baddest Chick,Ian Carey & Doron feat. Ray J and Kardinal Offishall,,,184477,5LOKIyPU0CHB5RA7Qjn5jn,https://open.spotify.com/track/5LOKIyPU0CHB5RA7Qjn5jn,0,Plz,Amara
J Paul Getto - Love Is True (Wise D & Kobe remix).mp3,Love Is True (Wise D & Kobe remix),J Paul Getto,,,226900,0jAMoCI28aRJ7oh1RvtVE5,https://open.spotify.com/track/0jAMoCI28aRJ7oh1RvtVE5,0.3,The Vibe,J Paul Getto
Jamnights - Big Fun! (Agent Stereo Needs Some Fun-K Remix).mp3,Big Fun! (Agent Stereo Needs Some Fun-K Remix),Jamnights,,,368039,5H46e2ffRLjM8hsWuMusKe,https://open.spotify.com/track/5H46e2ffRLjM8hsWuMusKe,0,Promise (Go And Get Your Tickets Mix) (feat. R.Kelly),"Ciara, R. Kelly"
"Jason Risk - 1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings].mp3","1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings]",Jason Risk,,,260049,4VqdAm65fW0okSfBKnXG0u,https://open.spotify.com/track/4VqdAm65fW0okSfBKnXG0u,0,Bullrun,"STARBOYS, HENK, Lille Saus, NIL$$EN, D70"
Kat Krazy feat. elkka - Siren (Official Music Video).mp3,Siren,Kat Krazy feat. elkka,,,248398,6UUhruYdm0bgynD8ERUHmL,https://open.spotify.com/track/0l1gk9p3Yy86CJ11MrD9cu,0.851,Siren - Armin van Buuren Remix,"Kat Krazy, Elkka, Armin van Buuren"
Kelis - 4th Of July (Fireworks).mp3,4th Of July (Fireworks),Kelis,,,225776,5CvuiEJ8sHm5mVUCK83lCk,https://open.spotify.com/track/5CvuiEJ8sHm5mVUCK83lCk,0.9,4th Of July (Fireworks),Kelis
Kelis - Acapella.mp3,Acapella,Kelis,,,243801,3B3A4mqiRhspnA3VCyfEbb,https://open.spotify.com/track/3B3A4mqiRhspnA3VCyfEbb,0.95,Acapella,Kelis
Kelis - Brave.mp3,Brave,Kelis,,,219925,3qxVga3DB8cThXKKp1Xbfo,https://open.spotify.com/track/3qxVga3DB8cThXKKp1Xbfo,0.9,Brave,Kelis
Kelis - Scream.mp3,Scream,Kelis,,,217992,7kppK30KijG6VGb7VasWsa,https://open.spotify.com/track/7kppK30KijG6VGb7VasWsa,0.9,Scream,Kelis
Klangkarussell - Sonnentanz.mp3,Sonnentanz,Klangkarussell,,,362397,4YRvb9B8cgvhst11qk8CKn,https://open.spotify.com/track/4YRvb9B8cgvhst11qk8CKn,1,Sonnentanz,Klangkarussell
Knife Party - 'Power Glove' - OUT NOW.mp3,'Power Glove',Knife Party,,,261251,6qpaTfe6rCl55xEPT4F7Hp,https://open.spotify.com/track/6qpaTfe6rCl55xEPT4F7Hp,0.8,Power Glove,Knife Party
