path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Favorites/Audio Bullys - Shot You Down ft. Nancy Sinatra.mp3,Shot You Down ft. Nancy Sinatra,Audio Bullys,,,219533,7ngcIInbDGx5tlh9MVfhqS,https://open.spotify.com/track/5JLyipl9TA28Y0tzH659Zr,0.813,Shot You Down - Radio Edit,"Audio Bullys, Nancy Sinatra"
Favorites/AuRa & CamelPhat - Panic Room.mp3,Panic Room,AuRa & CamelPhat,,,213185,3MkuFR7t25mu7Iscp6GGiV,https://open.spotify.com/track/3MkuFR7t25mu7Iscp6GGiV,0.7,Panic Room,"Au/Ra, CamelPhat"
Favorites/Bag Raiders - Shooting Stars (Official Video).mp3,Shooting Stars,Bag Raiders,,,231654,7tOcPDj3vyopZ404pY6UuP,https://open.spotify.com/track/7tOcPDj3vyopZ404pY6UuP,0.95,Shooting Stars,Bag Raiders
Favorites/Bassjackers vs Breathe Carolina & Apek - The Fever (Official Music Video).mp3,The Fever,Bassjackers vs Breathe Carolina & Apek,,,213656,1AS2ADK5pf7vHRCH0b1LXT,https://open.spotify.com/track/1AS2ADK5pf7vHRCH0b1LXT,0.6,The Fever,"Bassjackers, Breathe Carolina, APEK"
Favorites/Benny Benassi & SOFI TUKKER - Everybody Needs A Kiss (Official Video) [Ultra Music].mp3,Everybody Needs A Kiss [Ultra Music],Benny Benassi & SOFI TUKKER,,,219011,4SQm3rG7WZfIZa8Lqff5q7,https://open.spotify.com/track/7I7fLUK6IDGTxU5QRl7I8v,0.787,Everyone Needs A Friend,Dance With A Stranger
Favorites/Blasterjaxx ft. UHRE - Bizarre (Boye & Sigvardt Remix) [Official Audio].mp3,Bizarre (Boye & Sigvardt Remix),Blasterjaxx ft. UHRE,,,182570,0W8zjgSDMDuxeoc6oD84qC,https://open.spotify.com/track/1tWwbQnXKL4qn8A7i4miSV,0.911,Bassline Wonder (Spilledåsa),"Prells, Sleiken"
Favorites/BLR & SBNC - Varca.mp3,Varca,BLR & SBNC,,,206106,6BpYX4ocLoQbJ6UigExYqp,https://open.spotify.com/track/6BpYX4ocLoQbJ6UigExYqp,0.7,Varca,"BLR, SBNC"
Favorites/BLR x Rave & Crave - Taj (Official Music Video).mp3,Taj,BLR x Rave & Crave,,,226090,400QEuv1HXJcm7gGSya4fn,https://open.spotify.com/track/3LtAcXl1Qbt3Wot2VpSgaX,0.611,Ballenstedt Breakdown,LST!RBL
Favorites/Bonobo  7th Sevens.mp3,Bonobo 7th Sevens,,,,307357,3AW6V6zWH45jI7eNPnSDfT,https://open.spotify.com/track/3AW6V6zWH45jI7eNPnSDfT,0.586,7th Sevens,Bonobo
"Favorites/Bougenvilla, Albert Neve & David Puentez - No Matter What (Official Music Video).mp3",No Matter What,"Bougenvilla, Albert Neve & David Puentez",,,164206,6U6y3bf9CbtkLqhcd123bJ,https://open.spotify.com/track/6U6y3bf9CbtkLqhcd123bJ,0.6,No Matter What,"Bougenvilla, Albert Neve, David Puentez"
Favorites/Brandon Flowers - I Can Change (Lyric Video) - Copy (1).mp3,I Can Change - Copy (1),Brandon Flowers,,,260624,1tXtGZuPA0JWNgdzk9SFyr,https://open.spotify.com/track/2l6nDyvPFbz7S4DPCpLcWZ,0.965,God Mode,Tom MacDonald
Favorites/Breathe Carolina & Bassjackers feat. CADE - Can't Take It (Official Music Video).mp3,Can't Take It,Breathe Carolina & Bassjackers feat. CADE,,,192287,3s1V3iuSJPncV3r7XljC8J,https://open.spotify.com/track/3s1V3iuSJPncV3r7XljC8J,0.6,Can't Take It (feat. CADE),"Breathe Carolina, Bassjackers, CADE"
Favorites/Breathe Carolina - Stay (ft. Sophie and the Bom Boms).mp3,Stay (ft. Sophie and the Bom Boms),Breathe Carolina,,,203363,0KWjWr5XvzjAhDqcdlMc8U,https://open.spotify.com/track/2Dlp3mgmT5GgKw9tXs85NA,1.000,I'm a Dog,Kevin Gates
Favorites/Brooks & GRX - Boomerang (Official Video).mp3,Boomerang,Brooks & GRX,,,195448,6Gw2dHX6FsQcIuiWxe0vWk,https://open.spotify.com/track/6Gw2dHX6FsQcIuiWxe0vWk,0.7,Boomerang,"Brooks, GRX"
Favorites/Calippo - Down With You.mp3,Down With You,Calippo,,,189440,2ff9jjSNR73bvyBQAogyKb,https://open.spotify.com/track/2ff9jjSNR73bvyBQAogyKb,1,Down with You,Calippo
Favorites/CALIPPO - Mesa verde [Official] - Copy (1).mp3,Mesa verde - Copy (1),CALIPPO,,,232620,2v08lvnHOS46BmIQSd3tVe,https://open.spotify.com/track/2v08lvnHOS46BmIQSd3tVe,0.603,Mesa Verde - Radio Mix,Calippo
Favorites/Calvo feat. Gigi - Made For Us.mp3,Made For Us,Calvo feat. Gigi,,,165486,0ef3f6JHP5T8Y0gfLmN7Zt,https://open.spotify.com/track/35Im9ybpXws6gGdKbRNDdb,0.938,Gigi's Recovery,The Murder Capital
Favorites/CamelPhat & Elderbrook - Cola (Radio Edit).mp3,Cola,CamelPhat & Elderbrook,,,228153,0aL5jEWqfIwNDB3tdzyzH4,https://open.spotify.com/track/0aL5jEWqfIwNDB3tdzyzH4,0.65,Cola,"CamelPhat, Elderbrook"
